Band,Album,Date Published,Nerd Date
Fleshgod Apocalypse,King,2016-2-1,3663360000
Brutality,Sea of Ignorance,2016-2-2,3663446400
Anthrax,For All Kings,2016-2-15,3664569600
Hyperion,Seraphical Euphony,2016-2-23,3665260800
Voivod,Post Society EP,2016-2-27,3665606400
Inverloch,Distance | Collapsed,2016-2-27,3665606400
Obsidian Kingdom,A Year with No Summer,2016-3-3,3666038400
Wormed,Krighsu,2016-3-8,3666470400
Skáphe,Skáphe²,2016-3-10,3666643200
Decrepit Soul,The Coming of War!!,2016-3-13,3666902400
Rimfrost,Rimfrost,2016-3-21,3667593600
King Goat,Conduit,2016-3-22,3667680000
Moonsorrow,Jumalten aika,2016-3-27,3668112000
The Bendal Interlude,Reign of the Unblinking Eye,2016-3-30,3668371200
Novembre,URSA,2016-4-2,3668630400
SIG:AR:TYR,Northen,2016-4-8,3669148800
Howls of Ebb,Cursus Impasse: The Pendlomic Vows,2016-4-10,3669321600
Zealotry,The Last Witness,2016-4-11,3669408000
Mantar,Ode to the Flame,2016-4-12,3669494400
Beastwars,The Death of All Things,2016-4-19,3670099200
Allfather,Bless the Earth with Fire,2016-4-20,3670185600
Messa,Belfry,2016-4-21,3670272000
Plebeian Grandstand,"False Highs, True Lows",2016-4-21,3670272000
Abhomine,Larve Offal Swine,2016-4-22,3670358400
Haken,Affinity,2016-4-27,3670790400
Thränenkind,King Apathy,2016-5-3,3671308800
Sylvaine,Wistful,2016-5-6,3671568000
Winterhorde,Maestro,2016-5-10,3671913600
Suidakra,Realms of Odoric,2016-5-11,3672000000
Vainaja,Verenvalaja,2016-5-16,3672432000
Sektemtum,Panacea,2016-5-23,3673036800
First Fragment,Dasein,2016-5-25,3673209600
Virus,Memento Collider,2016-6-5,3674160000
The Vision Bleak,The Unknown,2016-6-13,3674851200
Katatonia,The Fall of Hearts,2016-6-14,3674937600
Sink,Ark of Contempt and Anger,2016-6-19,3675369600
Fates Warning,Theories Of Flight,2016-6-22,3675628800
Inter Arma,Paradise Gallows,2016-6-30,3676320000
Pseudo/Sentai,Enter the Sentai,2016-7-1,3676406400
Profanatica,The Curling Flame of Blasphemy,2016-7-6,3676838400
Witherscape,The Northern Sanctuary,2016-7-11,3677270400
Vulvodynia,Psychosadistic Design,2016-7-12,3677356800
Caïna,Christ Clad in White Phosphorus,2016-7-17,3677788800
Harakiri For The Sky,III: Trauma,2016-7-18,3677875200
Spirit Adrift,Chained to Oblivion,2016-8-6,3679516800
Marsh Dweller,The Weight of Sunlight,2016-8-7,3679603200
Darkher,Realms,2016-8-11,3679948800
Blood Incantation,Starspawn,2016-8-16,3680380800
Inquisition,Bloodshed Across the Empyrean Altar Beyond the Celestial Zenith,2016-8-25,3681158400
Hellbringer,Awakened from the Abyss,2016-8-28,3681417600
Morrow,Covenant of Teeth,2016-8-31,3681676800
Uada,Devoid of Light,2016-8-31,3681676800
Voidspawn,Pyrrhic EP,2016-9-3,3681936000
Unfathomable Ruination,Finitude,2016-9-4,3682022400
Sumerlands,Sumerlands,2016-9-8,3682368000
Barishi,Blood From the Lion’s Mouth,2016-9-10,3682540800
Insomnium,Winter’s Gate,2016-9-12,3682713600
Cara Neir/Wildspeaker,Guilt and His Reflection [Split],2016-9-15,3682972800
Neurosis,Fires Within Fires,2016-9-22,3683577600
